Machine Tyoe,Air te1perature [K],Process temperature [K],Rotational speed [rp1],Torque [N1],Tool wear [1in],Machine Failure
1,298,308.1,1587,32.3,30,1
0,297.4,308.6,1678,32.3,180,0
0,298.9,308.6,1560,32.2,118,1
0,298.3,308.5,1538,32.2,173,1
1,297.5,308.2,1713,32.2,17,1
1,297.6,309.5,1709,32.2,65,0
0,297.7,309.6,1697,32.2,210,0
0,296.7,308,1580,32.2,39,0
0,298.1,308.2,1654,32.1,25,1
0,297.8,308.4,1612,32.1,183,1
0,297.6,309.6,1669,32.1,155,0
0,297.4,309,1583,32,166,0
1,298.4,310.2,1725,32,80,0
0,299,308.9,1622,31.9,42,1
0,299,309,1544,31.8,25,1
1,296.8,307.9,1683,31.8,76,0
0,297.6,308.3,1617,31.7,39,1
0,298.3,308.5,1664,31.6,144,1
0,298.2,308.3,1805,31.6,96,1
0,297.3,308.7,1619,31.6,129,0
1,297.6,308.8,1683,31.6,79,0
1,297.9,308.1,1627,31.4,209,1
0,297.6,308.4,1703,31.4,205,1
0,296.3,307.3,1567,31.4,5,0
0,297.5,308.2,1647,31.3,3,1
1,297.8,309.7,1700,31.3,200,0
0,298.8,308.7,1591,31.1,68,1
1,297.3,308.3,1657,31.1,8,0
0,297.7,309.7,1616,31.1,20,0
0,296.9,308,1546,31.1,11,0
1,297.6,308.4,1611,31,48,1
1,297.4,308.6,1643,31,89,0
0,297.6,308.3,1640,30.9,79,1
0,297.6,309.5,1574,30.9,151,0
0,297.8,309.2,1683,30.9,163,0
0,297.5,308.9,1696,30.9,133,0
0,296.8,307.9,1698,30.8,48,0
0,296.1,307.2,1615,30.8,18,0
1,298.9,309.3,1581,30.7,65,0
1,298.1,308.6,1716,30.7,119,1
1,297.4,309,1685,30.7,177,0
0,298.2,308.2,1667,30.6,59,1
0,298,308.2,1611,30.6,195,1
0,297.5,308.5,1722,30.4,178,0
0,298.1,309.9,1642,30.4,58,0
0,297.5,309.1,1611,30.2,211,0
1,297.7,309.7,1680,30.2,168,0
0,297.7,309.4,1608,30.2,135,0
0,299,309.4,1693,30.1,84,0
0,298.7,309,1691,30.1,154,0
1,298.6,309.2,1742,30,37,0
0,297.5,308.3,1674,30,54,1
0,298.1,309.9,1634,30,53,0
1,298.9,308.9,1750,29.9,50,1
0,297.7,308.5,1720,29.9,210,1
0,297.5,309.3,1732,29.9,32,0
1,297.9,309.8,1693,29.9,35,0
0,297.5,309.3,1675,29.8,72,0
0,296.8,308,1666,29.8,41,0
1,297.7,309,1636,29.7,32,0
0,296.8,308,1675,29.7,46,0
1,298.8,309,1661,29.5,162,0
0,298,308,1615,29.5,15,1
0,298.8,308.6,1680,29.4,95,1
0,298.9,308.7,1727,29.4,116,1
1,298,308,1620,29.4,75,1
0,297.3,308.2,1754,29.4,123,1
0,297.4,309.2,1698,29.4,119,0
0,298.3,308.6,1584,29.3,162,1
0,296.9,308,1713,29.3,13,0
0,298.1,309.9,1686,29.1,60,0
1,297.8,309.8,1676,29,178,0
1,297.4,308.3,1774,28.9,166,0
1,297.3,308.4,1665,28.9,17,0
1,297.7,309.2,1732,28.8,152,0
0,296.9,308.1,1741,28.8,60,0
1,298.9,308.9,1679,28.7,181,0
1,298.3,308.7,1667,28.6,18,0
1,298.8,308.5,1711,28.5,140,1
0,298.1,308,1652,28.5,63,1
0,297.8,308.4,1685,28.4,179,1
1,298.6,308.4,1778,28.2,161,1
1,298.8,308.6,1707,28.1,103,1
1,297.7,309.1,1732,28.1,167,0
0,297.5,308.9,1729,28.1,189,0
1,297.5,308.7,1697,28.1,107,0
1,298.5,309,1741,28,21,0
0,297.5,309.2,1715,28,30,0
0,296.6,307.4,1616,28,175,0
0,297.5,309.5,1668,27.9,240,0
0,296.7,307.9,1743,27.9,55,0
0,297.8,308.5,1699,27.8,199,1
0,298.8,308.4,1737,27.7,130,1
0,297.6,308.3,1742,27.7,13,1
0,297.8,308.4,1737,27.5,146,1
1,297.5,309.2,1804,27.4,215,0
1,297.7,309.2,1700,27.4,176,0
0,297.7,308.9,1838,27.3,99,0
1,298.9,308.9,1727,27.1,37,1
0,297.7,308.4,1740,27.1,136,1
0,298.4,308.2,1850,27,194,1
1,297.5,308.6,1842,27,133,1
1,299,309,1804,26.8,17,1
1,298.1,308.2,1736,26.8,27,1
0,297.3,308.2,1754,26.8,125,1
0,297.5,308.5,1712,26.8,136,1
0,297.5,308.6,1793,26.7,70,0
1,298,307.9,1750,26.6,67,1
1,297.5,309.4,1831,26.6,105,0
0,297.6,309,1735,26.4,41,0
0,298.5,308.4,1733,26,8,1
1,298.9,309,1812,25.9,174,0
0,297.4,308.1,1749,25.9,8,1
1,298.7,309,1843,25.8,130,0
0,298.9,308.9,1753,25.8,33,1
1,297.4,309.3,1775,25.8,91,0
0,299,309.4,1758,25.7,68,0
0,299,309.4,1798,25.5,89,0
1,297.8,309.8,1798,25.5,203,0
0,297.6,309,1822,25.4,202,0
0,298,308.5,1713,25.3,124,1
1,297.6,309,1815,25.3,66,0
0,298.8,308.9,1852,25,57,1
0,298.9,308.9,1830,24.9,35,1
0,297.9,308,1800,24.8,44,1
0,297.4,309.3,1759,24.8,81,0
0,297.5,309.4,1803,24.7,98,0
0,299.1,309.4,1811,24.6,77,0
0,297.7,309.3,1893,24.6,15,0
1,296.9,307.8,1828,24.6,91,0
0,297.7,309,1874,24.4,28,0
0,298.4,308.5,1827,24.3,153,1
0,298,308.1,1777,24.3,200,1
0,297.5,309.4,1809,24.3,110,0
0,298.2,308.3,1824,24.2,49,1
1,296.8,308.1,1843,24.2,212,0
1,297,307.9,1882,24.2,97,0
0,297.5,308.9,1738,24,195,0
0,298.4,308.9,1782,23.9,24,0
0,298.3,310,1858,23.9,114,0
0,297.4,308.9,1809,23.8,131,0
1,297.6,308.5,1848,23.7,37,0
0,298.4,310.1,1926,23.7,83,0
0,298,308.1,1819,23.4,78,1
0,299,309.5,1861,23.3,73,0
0,298.8,309,1829,22.9,172,0
0,297,307.7,1867,22.8,118,0
0,296.1,307.1,1898,22.7,20,0
1,298.9,309,1924,22.6,193,1
0,297.4,309,1833,22.6,161,0
0,298.8,308.6,1872,22.5,82,1
0,296.6,308,1978,22.3,208,0
0,297.6,309.4,1958,22.1,108,0
0,297.8,309.7,1935,22.1,171,0
0,297.2,308.6,1924,22.1,163,0
0,298.2,308.2,1988,21.4,41,1
0,297.9,309.8,2000,21.3,29,0
0,297.9,308,1954,21.1,42,1
1,298.1,308,1924,20.8,29,1
0,298.8,308.8,1991,20.7,59,1
0,297.6,309.5,1924,20.6,37,0
1,297.6,308.2,1995,20.5,10,1
0,297.6,309.5,2001,20.5,220,0
0,297.8,309.3,2015,20.1,161,0
0,298.4,308.2,1987,19.8,198,1
1,297.7,309.5,2027,19.8,39,0
0,298.6,309.2,2035,19.6,40,0
0,298.2,308.3,2051,19.2,90,1
0,297.8,308.4,2129,19.2,148,1
1,296.9,307.9,2010,18.9,86,0
0,297.9,308.5,2129,18.7,126,1
0,297.4,308.4,2151,17.7,0,0
0,297.4,308.5,2100,16.9,176,0
0,297.9,309.7,2194,16.8,27,0
0,297.2,308.5,2182,16.5,127,0
1,297.5,308.2,2448,13.8,29,1
0,297.5,308.3,2564,12.8,127,1
1,298.2,308.5,2678,10.7,86,1
0,296.4,307.4,2833,5.6,213,1
0,298.9,309.1,2861,4.6,143,1
0,297.4,308.7,2874,4.2,118,1
